"","act12h_018","act12h_019","act24h_023","act48h_026","act48h_027","act72h_028","act72h_029","act72h_030","act96h_032","act96h_034","notact_004","notact_007","notact_008"
"px:NCAPG",1.64403881889835,0.866920861120107,1.93936917428877,8.26220657958002,8.00201586395441,8.57613164563668,8.70846229444453,8.28920095704454,8.38009621310104,8.5879280158006,2.36857545969763,3.01322962426283,1.23652665622783
"px:GSTM1",1.64112718139769,9.02291863009849,1.63005256481639,6.64503638755232,3.7578215788357,0.480737155145607,8.8496328655544,2.10506465164807,9.05570733424745,3.87686662799317,1.17394853792296,7.54154647304255,1.27832987027572
"px:KCTD5",4.00870163190212,3.98909223810125,5.92875554759791,5.27124998472524,4.35616266994493,4.42107636687006,3.59673958497936,2.99201906382314,0.165006105267217,0.165043614301532,0.164921663768136,0.165128261386332,0.165464764158132
"px:MCC",0.165218612869652,0.165262113591173,4.89123731847617,3.08678294881632,0.165154320561169,0.16513971916009,0.165029637964889,4.4072513715067,4.62203124941717,4.96325571785022,0.165167033213683,0.165151816837379,0.165219710533293
"px:ANKRD39",0.16515336703323,0.165081791828876,0.165136255351722,5.74855334486566,5.27915236597857,0.16520639811036,0.165263643695206,4.28204457795938,0.165190121854548,0.164980117483741,3.16455038758437,3.1540658729813,0.165320076903229
"px:PLXNA1",7.85495883573709,8.13680414369374,6.81540675428951,0.165314770068791,0.165171307292524,5.47878054948266,7.0813439725371,7.19675868701971,6.548925547021,7.00084180677449,4.42528206303761,5.11660600718702,6.6228202165208
"px:B3GNTL1",0.164929113886064,0.165054371650209,2.02576020515661,3.67204596819121,3.53691446248187,0.16519703732144,0.165220194217362,0.165300050481249,0.165273940093156,0.165164429090358,4.94671186265124,4.83465568563349,5.59422467710284
"px:KLHL26",4.66112921141231,0.165118644391611,4.45196143382178,0.16526049573097,4.59260215098453,0.165367291353923,0.165335091213417,4.34609687543088,3.1025072584927,3.73370274746,5.67432120853941,5.70624566981374,5.72843195960763
"px:C1orf112",3.8533164737543,8.72007913659654,0.16532705784005,2.52035572966466,4.31426003372108,2.45907866122767,2.92914253262169,3.3287323582442,5.59294374398791,2.33276487837653,0.16523082262547,0.165118762794123,0.165191731996659
"px:VAV2",3.7772029259151,2.09741909110474,0.165269320204627,0.165161107347615,1.20018206429093,5.60404556695789,5.30946856102262,5.33289334514785,0.165223265390953,0.165293678049349,0.165248919952715,0.165074419258894,0.165226747818584
"px:PHC2",0.165425428815904,0.165238044678249,2.42716952275887,4.70648322049943,0.165224519917184,5.0320615400107,4.69636263267169,4.75385551229376,4.54916203555115,0.16530885746671,6.1910241674659,4.07075637492644,5.0803617715053
"px:C7",6.5734566269634,7.2317110501619,5.66044377242633,1.4685756504421,0.16518345670894,1.42973831791996,2.48608149157971,1.68291733226315,1.51381599418946,0.165144368368167,7.00720050004378,5.73849747217934,6.99750388627261
"px:GPLD1",3.49050052772498,4.56769094827445,3.3544903806405,0.165041823290687,0.165367747520636,0.165212449886572,0.165446213333089,0.165124994890767,0.16516888608325,0.165286986259789,4.8861180621273,4.08535206663413,4.81697703127746
"px:CDK1",1.77161646397679,3.46003083211348,3.48212090458991,9.26726855447668,9.23511393063355,9.13502797549168,9.04187758141557,8.69142432968524,8.78465140613894,8.54603522836899,2.73737569396805,1.28747730837061,1.43934558294664
"px:GPT2",3.33462305500918,4.09918697514073,2.86991400690315,0.165198390710638,2.63268207047317,0.165231625251597,0.165181269252141,0.165209398346171,2.6006624299883,0.165347887313244,5.36379619893304,6.24408886521321,5.43533801493558
"px:CASS4",0.165234049371951,0.165125979021333,0.165242482061231,0.165277115661278,0.165284157054207,0.165099015482602,0.165220400309299,0.165252279595939,0.16513471028301,0.16509405288577,5.58155610787694,5.38860560486341,5.45428823771521
