"","notact_004","notact_007","notact_008","notact_009","notact_010","notact_011","notact_014","act12h_018","act12h_019","act12h_020","act24h_023","act48h_026","act48h_027","act72h_028","act72h_029","act72h_030","act96h_032","act96h_034"
"AARSD1",4.77288643231975,5.44097382404592,4.80553761580297,4.90547811572662,3.93682320074383,4.78092008918825,4.61376649987694,5.24160591136002,4.4141910624466,4.4514120977955,4.64856737296687,5.61116232028908,5.88813230183633,5.66203545400594,5.39259557387046,5.49140383065628,4.84549089921762,5.14332255523513
"AASDH",2.29387764370545,2.13869756123262,1.56000864370555,2.04958816134873,0.179168715360556,1.68161117720644,2.68162443411322,0,2.65168565873219,0,2.09747861218522,0.31988463619045,0,0,0,0.688245589273259,0,0
"AASDHPPT",4.62427192597818,4.91138413442316,5.01191432557773,5.84969937340344,5.0682505556947,5.27386984843382,5.19524932152123,5.23573404336631,5.90707523647441,5.53068321533647,5.48443713368569,6.16023471184607,5.94694967479016,5.48970709967783,5.93505712347405,5.9474813763562,5.14253432490641,4.88874412608235
"AASS",2.71153415955004,1.42804362634495,1.43089175820398,1.46125291164746,1.34013174231523,3.43691811153698,2.29927745439306,1.91202288748099,1.24941048388373,1.2088005378206,2.51317088598662,0,1.49358923796689,0,0,0,0,2.22598748564913
"AATF",4.31203117807062,5.41423693784761,4.72347430842056,5.21649320963742,5.21279558104811,5.34884102199399,3.46740048752686,5.31556818290717,5.94537383365967,4.97365096538166,6.2808946533462,6.07669184828418,5.39515952288995,5.66965836766143,5.96486441492911,5.7822102769865,4.88616105466125,5.58820558801977
"ABAT",2.29177543175322,2.7160843717832,3.02348187885078,3.60969850948874,2.34817439496128,2.46142848100662,3.02143312159698,0,0,1.84046703121451,0.858035813857501,2.33030217080582,2.07023634962627,1.84671616583091,2.30432067054182,2.52613608674897,1.82070160711436,1.13402090621352
"ABCB10",3.62233733706993,3.65950051011374,2.80037065129797,3.51425283094159,2.64503997353306,2.64896334213856,2.74274416026336,2.22747983994342,2.11538730425174,2.2498335758409,2.45491680221917,4.18318517219163,4.10476466716311,4.49962898990293,3.98752718849998,4.40901917937947,4.47130357366831,4.29982180425837
"ABCB6",0,0,0,0,0,0,0,1.23652812595822,1.27820082590296,1.5451771570137,1.45157554043968,1.97877466528744,0,1.97487097943204,1.15177592111908,1.13249474027626,0,1.1674180509283
"ABCB7",5.83729919255776,3.73198896922186,5.11403227622695,5.46673774707323,5.44873998940297,4.92598880323178,5.34045709022816,5.06956545276376,5.06133788376936,5.03492393016348,4.46908648610523,5.29461571996116,4.97532588623506,5.07743023946893,4.7564413241373,4.95634621849708,4.53866175876324,5.28796480996955
"ABCB8",1.883889000596,1.46135885720123,3.19046773397486,3.79199898526432,1.8841216082816,1.21471448262043,2.15920315906794,2.74799339125799,2.76977369069689,3.45834587590703,0,2.17976712555388,2.56158257838355,2.19712624528724,3.61664153465434,3.53248105934524,0,3.39097302327156
"ABCC1",4.77775449601358,4.13459523868127,3.286541367398,3.98549511989252,4.63671150362007,4.08569903321009,3.68770843325428,3.82671442936942,4.25600769611509,4.04878236098942,2.86298401763552,4.20610481505551,3.67573429729406,5.03581671118797,5.34241867269074,4.77468087547904,4.59229984741285,6.13427213061044
"ABCC4",2.20301103050935,0,0,0,0,0,0,2.12998807343412,3.63338834653607,3.56006701203625,0,1.66828914880096,2.80271659858235,3.08000635168136,1.7308454598043,1.80930006406613,0,0
"ABCD1",2.33446573821621,2.62085320804728,1.99022863108378,1.22702398726651,2.33580665288868,1.92985002186859,1.99655905368868,0.637745905953437,0.622705352334609,1.06852027233891,0.871583503244572,0,0,0,0,0,1.24861883438782,0
